Country,Population,Capital City,Region
Afghanistan,42045000,Kabul,Asia
Albania,2363314,Tirana,Europe
Algeria,47400000,Algiers,Africa
American Samoa,49710,Pago Pago,Oceania
Andorra,87682,Andorra la Vella,Europe
Angola,35121734,Luanda,Africa
Anguilla,15931,The Valley,Americas
Antigua and Barbuda,103603,St. John's,Americas
Argentina,47067641,Buenos Aires,Americas
Armenia,3081100,Yerevan,Asia
Aruba,107566,Oranjestad,Americas
Australia,27400013,Canberra,Oceania
Austria,9202428,Vienna,Europe
Azerbaijan,10233142,Baku,Asia
Bahamas,398165,Nassau,Americas
Bahrain,1594654,Manama,Asia
Bangladesh,169828911,Dhaka,Asia
Barbados,267800,Bridgetown,Americas
Belarus,9109280,Minsk,Europe
Belgium,11825551,Brussels,Europe
Belize,410919,Belmopan,Americas
Benin,12910087,Cotonou,Africa
Bermuda,64055,Hamilton,Americas
Bhutan,777224,Thimphu,Asia
Bolivia,11312620,La Paz,Americas
Bosnia and Herzegovina,3422000,Sarajevo,Europe
Botswana,2359609,Gaborone,Africa
Brazil,212583750,Brasília,Americas
British Virgin Islands,39471,Road Town,Americas
Brunei,455500,Bandar Seri Begawan,Asia
Bulgaria,6437360,Sofia,Europe
Burkina Faso,23409015,Ouagadougou,Africa
Burundi,12332788,Gitega,Africa
Cambodia,17336307,Phnom Penh,Asia
Cameroon,28758503,Yaoundé,Africa
Canada,41548787,Ottawa,Americas
Cape Verde,491233,Praia,Africa
Cayman Islands,84738,George Town,Americas
Central African Republic,6470307,Bangui,Africa
Chad,18675547,N'Djamena,Africa
Chile,20206953,Santiago,Americas
China,1408280000,Beijing,Asia
Colombia,52695952,Bogotá,Americas
Comoros,870038,Moroni,Africa
Congo,6142180,Brazzaville,Africa
Cook Islands,15040,Avarua,Oceania
Costa Rica,5309625,San José,Americas
Croatia,3859686,Zagreb,Europe
Cuba,9748007,Havana,Americas
Curaçao,155826,Willemstad,Americas
Cyprus,966400,Nicosia,Asia
Czechia,10876875,Prague,Europe
Denmark,6001008,Copenhagen,Europe
Djibouti,1066809,Djibouti,Africa
Dominica,67408,Roseau,Americas
