Country,Emmision,PerCapita,WorldShare
China,"12,667,428,430",8.89,32.88
United States,"4,853,780,240",14.21,12.6
India,"2,693,034,100",1.89,6.99
Russia,"1,909,039,310",13.11,4.96
Japan,"1,082,645,430",8.66,2.81
Indonesia,"692,236,110",2.48,1.8
Iran,"686,415,730",7.67,1.78
Germany,"673,595,260",8.01,1.75
South Korea,"635,502,970",12.27,1.65
Saudi Arabia,"607,907,500",18.89,1.58
Canada,"582,072,950",14.99,1.51
Mexico,"487,774,010",3.79,1.27
Turkey,"481,247,520",5.53,1.25
Brazil,"466,770,410",2.22,1.21
South Africa,"404,974,510",6.49,1.05
Australia,"393,162,550",15.01,1.02
United Kingdom,"340,610,260",5,0.88
Vietnam,"327,905,620",3.29,0.85
Italy,"322,948,740",5.42,0.84
Poland,"321,954,000",8.39,0.84
France,"315,299,470",4.76,0.82
Thailand,"282,445,820",3.94,0.73
Malaysia,"277,531,770",8,0.72
Taiwan,"275,573,980",11.77,0.72
Egypt,"265,961,280",2.36,0.69
Spain,"254,363,430",5.32,0.66
Kazakhstan,"245,886,290",12.27,0.64
United Arab Emirates,"218,799,350",21.36,0.57
Pakistan,"199,329,850",0.82,0.52
Iraq,"193,836,310",4.4,0.5
Argentina,"184,037,200",4.05,0.48
Algeria,"177,079,430",3.89,0.46
Philippines,"155,380,930",1.36,0.4
Netherlands,"134,663,630",7.52,0.35
Ukraine,"132,541,470",3.23,0.34
Uzbekistan,"132,433,520",3.79,0.34
Nigeria,"122,750,410",0.55,0.32
Kuwait,"110,119,570",23.99,0.29
Bangladesh,"109,075,300",0.64,0.28
Qatar,"102,617,980",35.48,0.27
Czechia,"101,544,650",9.51,0.26
Venezuela,"96,924,940",3.44,0.25
Chile,"92,858,760",4.75,0.24
Oman,"91,649,080",19.38,0.24
Belgium,"90,414,850",7.77,0.23
Colombia,"88,469,810",1.71,0.23
Romania,"77,289,010",4.03,0.2
Morocco,"72,642,020",1.95,0.19
Turkmenistan,"69,882,930",9.67,0.18
Libya,"62,743,000",8.69,0.16
Israel,"61,771,180",6.79,0.16
Peru,"61,610,390",1.84,0.16
Austria,"61,174,530",6.75,0.16
Belarus,"57,411,420",6.26,0.15
Greece,"56,777,160",5.45,0.15
North Korea,"54,403,780",2.07,0.14
Singapore,"53,439,690",9.46,0.14
Bulgaria,"50,103,300",7.34,0.13
Hungary,"47,291,880",4.88,0.12
Ecuador,"46,106,910",2.59,0.12
Norway,"42,283,660",7.75,0.11
Portugal,"41,281,720",3.96,0.11
Bahrain,"37,955,110",24.75,0.1
Sweden,"37,850,250",3.61,0.1
Ireland,"37,785,560",7.39,0.1
Myanmar,"37,394,010",0.7,0.1
Finland,"37,324,670",6.7,0.1
Azerbaijan,"37,129,640",3.61,0.1
Switzerland,"36,105,180",4.11,0.09
Tunisia,"35,915,380",2.96,0.09
Slovakia,"35,233,230",6.44,0.09
Hong Kong,"32,439,160",4.34,0.08
New Zealand,"32,371,130",6.31,0.08
Trinidad and Tobago,"29,217,380",19.53,0.08
Denmark,"29,158,760",4.94,0.08
Syria,"28,237,370",1.26,0.07
Cuba,"24,770,800",2.24,0.06
Sudan,"24,523,230",0.5,0.06
Ghana,"24,452,990",0.74,0.06
Lebanon,"23,766,110",4.14,0.06
Jordan,"23,578,900",2.09,0.06
Dominican Republic,"23,456,970",2.09,0.06
Mongolia,"22,095,340",6.53,0.06
Bolivia,"21,959,530",1.82,0.06
Bosnia and Herzegovina,"21,826,660",6.81,0.06
Kenya,"21,527,440",0.4,0.06
Ethiopia,"21,106,910",0.17,0.06
Angola,"20,185,660",0.57,0.05
Laos,"20,125,910",2.66,0.05
Guatemala,"20,090,150",1.13,0.05
Sri Lanka,"18,535,920",0.81,0.05
Cambodia,"17,618,910",1.02,0.05
Croatia,"17,224,970",4.41,0.05
Tanzania,"16,978,750",0.26,0.04
Nepal,"15,847,310",0.53,0.04
Ivory Coast,"14,491,920",0.48,0.04
Slovenia,"13,946,920",6.59,0.04
Lithuania,"13,263,810",4.71,0.03
Puerto Rico,"12,616,570",3.89,0.03
Yemen,"12,263,170",0.32,0.03
Senegal,"12,074,690",0.68,0.03
Georgia,"12,013,890",3.17,0.03
Panama,"11,384,020",2.59,0.03
Estonia,"10,847,950",8.03,0.03
Honduras,"10,612,630",1.01,0.03
Tajikistan,"10,551,280",1.04,0.03
Kyrgyzstan,"10,303,360",1.48,0.03
Zimbabwe,"10,223,730",0.64,0.03
Cameroon,"10,080,190",0.36,0.03
Mozambique,"10,028,180",0.31,0.03
Paraguay,"9,932,550",1.47,0.03
Benin,"9,619,540",0.7,0.03
Brunei,"9,375,650",20.59,0.02
Zambia,"9,270,700",0.46,0.02
Moldova,"8,652,070",2.85,0.02
Costa Rica,"8,608,370",1.69,0.02
Uruguay,"8,541,520",2.52,0.02
North Macedonia,"8,336,480",4.53,0.02
Botswana,"8,213,720",3.37,0.02
El Salvador,"7,972,430",1.27,0.02
Luxembourg,"7,586,820",11.61,0.02
Uganda,"7,540,270",0.16,0.02
Cyprus,"7,460,310",5.6,0.02
Congo,"7,435,820",1.23,0.02
Mali,"6,725,970",0.29,0.02
Latvia,"6,705,370",3.56,0.02
Armenia,"6,326,530",2.2,0.02
Jamaica,"6,083,040",2.14,0.02
Burkina Faso,"5,820,480",0.26,0.02
Nicaragua,"5,734,390",0.85,0.02
Afghanistan,"5,675,770",0.14,0.02
Malawi,"5,627,530",0.27,0.02
Gabon,"5,516,570",2.27,0.01
New Caledonia,"5,361,860",18.67,0.01
Equatorial Guinea,"5,053,870",2.8,0.01
Papua New Guinea,"4,715,910",0.46,0.01
Mauritania,"4,611,630",0.95,0.01
Albania,"4,486,220",1.59,0.01
Namibia,"4,287,830",1.48,0.01
Mauritius,"4,281,810",3.36,0.01
Guyana,"3,804,000",4.63,0.01
Guinea,"3,801,720",0.27,0.01
Iceland,"3,558,320",9.36,0.01
DR Congo,"3,551,810",0.03,0.01
Haiti,"3,437,040",0.3,0.01
Suriname,"3,289,020",5.28,0.01
Madagascar,"3,190,000",0.1,0.01
Réunion,"2,736,530",3.14,0.01
Niger,"2,633,180",0.1,0.01
Togo,"2,437,950",0.27,0.01
Macao,"2,247,400",3.19,0.01
Maldives,"2,181,070",4.16,0.01
Chad,"2,110,370",0.11,0.01
Malta,"1,715,420",3.25,0
Bhutan,"1,712,460",2.19,0
Fiji,"1,692,890",1.84,0
Rwanda,"1,626,440",0.12,0
Liberia,"1,622,810",0.3,0
Bahamas,"1,446,220",3.64,0
Palau,"1,357,050",76.41,0
Eswatini,"1,348,890",1.11,0
Sierra Leone,"1,099,700",0.13,0
Seychelles,"1,095,060",8.72,0
Cabo Verde,"1,015,010",1.95,0
French Polynesia,"956,700",3.41,0
Somalia,"940,570",0.05,0
Burundi,"924,150",0.07,0
Guadeloupe,"904,520",2.35,0
Martinique,"899,240",2.57,0
Eritrea,"804,660",0.24,0
Lesotho,"779,000",0.34,0
Djibouti,"761,120",0.67,0
Barbados,"674,170",2.39,0
Gibraltar,"663,620",17.65,0
Gambia,"611,740",0.23,0
Timor-Leste,"572,620",0.42,0
Greenland,"465,940",8.32,0
Aruba,"455,060",4.22,0
Samoa,"355,420",1.65,0
French Guiana,"354,590",1.19,0
Guinea-Bissau,"350,090",0.17,0
Comoros,"342,880",0.41,0
Solomon Islands,"318,050",0.41,0
Bermuda,"317,540",4.9,0
Cayman Islands,"307,220",4.29,0
Antigua and Barbuda,"277,650",2.99,0
Central African Republic,"276,060",0.05,0
Belize,"269,430",0.67,0
Saint Lucia,"254,790",1.43,0
Western Sahara,"241,500",0.42,0
Vanuatu,"218,140",0.7,0
Tonga,"166,860",1.59,0
Sao Tome & Principe,"157,900",0.7,0
Grenada,"122,490",1.05,0
Cook Islands,"107,800",7.32,0
Saint Kitts & Nevis,"101,920",2.18,0
Turks and Caicos,"88,360",1.93,0
St. Vincent & Grenadines,"82,790",0.81,0
Kiribati,"73,960",0.57,0
Dominica,"68,810",1.03,0
British Virgin Islands,"64,670",1.69,0
Saint Pierre & Miquelon,"37,110",6.47,0
Anguilla,"22,810",1.61,0
Falkland Islands,"21,770",6.24,0
Saint Helena,"17,900",3.35,0
Faroe Islands,"2,110",0.04,0
